Date,District,Header,Story,Source,Attack,latitude,longitude,Propaganda,Structural Discrimination,Material Damage,Reported status
2018-09-02,Mitte,LGBTIQ*feindliche Beleidigung und Bespuckung in Mitte,Gegen 12.00 Uhr wird ein 63-jähriger Mann in der Großen Hamburger Straße von einem unbekannten Täter aus LGBTIQ*feindlicher Motivation beleidigt und bespuckt.,ReachOut,verbal,52.4605808,13.7065052,Unknown,Unknown,Unknown,Unknown
2018-08-20,Mitte,Rassistisch-flüchtlingsfeindlich motivierte Bedrohung ,"Unter den Linden wird in Propaganda um 19.39 Uhr ein/e Amts/Mandatsträger*in rassistisch-flüchtlingsfeindlich und antisemitisch motiviert und wegen ihrer sexuellen Orientierung bedroht. Es wird nach § 126 ""Störung des öffentlichen Friedens durch Androhung von Straftaten"" ermittelt.","Antwort vom 21.01.2019 auf die Schriftliche Anfrage der Abgeordneten Niklas Schrader und Anne Helm (LINKE), Abgeordnetenhaus Berlin Drucksache 18 / 17 422",verbal,52.5166058,13.3805624,Unknown,Unknown,Unknown,Unknown
2018-07-12,Friedrichshain-Kreuzberg,Mann LGBTIQ*-Feindlich angegriffen,"Gegen 14.00 Uhr wird ein 25-jähriger Mann in der Prinzenstraße von einem unbekannten Mann aus LGBTIQ-feindlicher Motivation beleidigt, geschlagen und getreten.","Polizei Berlin, 16.10.2018",physical,52.504442,13.4113404,Unknown,Unknown,Unknown,Unknown
2018-05-26,Mitte,LGBTIQ-feindlicher Angriff im Wedding,Ein 18-jähriger Mann und zwei Freunde im Alter von 16 und 24 Jahren werden gegen 23.00 Uhr vor einem Café in der Müllerstraße von 18-20 Gästen aus LGBTIQ-feindlicher Motivation geschlagen und getreten.,"Polizei Berlin vom 23.07.2018, ReachOut",physical,52.5614374,13.3327026,Unknown,Unknown,Unknown,Unknown
2018-02-04,Neukölln,Homophober Angriff am Hermannplatz,"Gegen 0.30 Uhr wurde ein 28-Jähriger aus einer Männergruppe heraus angegriffen. Aus LGBTIQ-feindlicher Motivation wurde der Betroffene gegen den Kopf geschlagen, bedrängt und geschubst. Als dem Angegriffenen die Flucht gelang, verfolgte ihn einer der Männer.
Zivilpolizisten bemerkten die Situation und nahmen den Angreifer fest.","Polizei Berlin, Polizeimeldung Nr. 0291",physical,52.48693485,13.424673198083719,Unknown,Unknown,Unknown,Unknown
2019-12-04,Friedrichshain-Kreuzberg,LGBTIQ*-Feindlicher Angriff in der Urbanstraße,"Ein 18-Jähriger wird gegen 21.00 Uhr in der Urbanstraße von vier Familienmitgliedern, darunter zwei Frauen im Alter von 28 und 54 Jahren und zwei Männer 30 und 51 Jahre alt, aus LGBTIQ*-feindlicher Motivation der Kontakt zu seinem Freund verboten und er wird in der Wohnung eingeschlossen.",ReachOut Berlin,physical,52.494206,13.4017898,Unknown,Unknown,Unknown,Unknown
2019-10-21,Neukölln,LGBTIQ*-feindlicher Angriff in Rudow,Ein 43 jähriger Mann wird gegen 14.30 Uhr im Narkauer Weg von einem 20-jährigen Mann aus LGBTIQ-feindlicher Motivation beleidigt. Der 20-jährige Täter hetzt seinen Hund auf den 43-Jährigen.,ReachOut Berlin,physical,52.4076789,13.5084454,Unknown,Unknown,Unknown,Unknown
2019-09-07,Friedrichshain-Kreuzberg,LGBTIQ*-feindlicher Angriff am U-Bhf. Gneisenaustraße,"In der Nacht vom 06.09.2019 zum 07.09.2019 wurden eine Frau und ihre Begleitung in einem Zug der U-Bahnlinie U7 in Höhe des U-Bhf. Gneisenaustraße aus einer Gruppe von drei Männern heraus transfeindlich beleidigt und mit einer Plastikflasche beworfen, die die beiden nur knapp verfehlte.","Polizei Berlin, 07.09.2019",physical,52.4929647,13.3880775,Unknown,Unknown,Unknown,Unknown
2019-06-23,Steglitz-Zehlendorf,LGBTIQ-feindlicher Angriff,"Gegen 22.10 Uhr sehen Zeug_innen, wie ein unbekannter Mann in der Fischerhüttenstraße von einem Mitarbeiter eines Lokals aus LGBTIQ-feindlicher Motivation beleidigt und am Hals gepackt wird.",ReachOut,physical,52.4468803,13.2305416,Unknown,Unknown,Unknown,Unknown
2019-06-13,Treptow-Köpenick,Homosexuellenfeinde Propaganda gegen politische Gegner*innen in Baumschulenweg,"An eine Tür wurde der Spruch ""Antifa = Homo"" geschmiert. In dieser Kombination wurde das Wort ""homo"" offensichtlich als Beschimpfung verwendet.",Zentrum für Demokratie,verbal,52.4616938,13.4815479,Unknown,Unknown,Unknown,Unknown
2019-05-21,Mitte,Homofeindliche Schmiererei in Mitte,Im Ortsteil Mitte wurde in der Alexanderstraße (Höhe Hausnummer 19) erneut eine homofeindliche Schmiererei mit dem Slogan „Schwule sterben aus“ entdeckt.,Registerstelle Berlin-Mitte,other,52.5222786,13.4162742,Unknown,Unknown,Unknown,Unknown
2019-04-13,Tempelhof-Schöneberg,LGBTIQ*-feindlicher Angriff in U-Bahn,"Eine 42-jährige Frau wird gegen 2.20 Uhr in einer U-Bahn nahe des U-Bahnhofs Nollendorfplatz von drei unbekannten Männern aus LGBTIQ*-feindlicher Motivation aufgefordert, das Abteil zu verlassen und mit einer PET-Flasche beworfen.","ReachOut Berlin -  Opferberatung und Bildung gegen Rechtsextremismus, Rassismus und Antisemitismus",physical,52.4995383,13.353943,Unknown,Unknown,Unknown,Unknown
2019-04-09,Neukölln,LGBTIQ*-feindlicher Angriff in Nordneukölln,Gegen 13.30 Uhr wird ein Mann in der Lahnstraße von einem Unbekannten aus LGBTIQ*-feindlicher Motivation beleidigt und mit der Faust ins Gesicht geschlagen.,ReachOut Berlin,physical,52.4678416,13.4431486,Unknown,Unknown,Unknown,Unknown
2019-04-04,Neukölln,LGBTIQ*-feindlicher Angriff in Nordneuköllner U-Bahnstation,"Gegen 22.00 Uhr wird ein 20-jähriger Mann, der auf einer Bank im U-Bahnhof Boddinstraße sitzt, von einem unbekannten Mann aus LGBTIQ*-feindlicher Motivation beleidigt, getreten, ins Gesicht gegriffen und sein Kopf wird gegen die Bank gedrückt. Ein unbekannter Zeuge greift ein.",ReachOut Berlin,physical,52.4805105,13.430963,Unknown,Unknown,Unknown,Unknown
